Cím,Épület/szárny,Szint,Helyiség száma,Helyiség neve,"Berendezés v. szolgáltatás
","Berendezés gyártó
","Berendezés tipusa
","Gyári szám/Egyéb berendezés adat
",Berendezés kód,Tender besorolás,Karb.alk./év
"Budapest, Naphegy tér 1.",A1115,1. emelet,Vezetői iroda 2,Vezetői iroda 2,FAN_COIL,,,,155A010010102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Vezetői iroda 2,Vezetői iroda 2,FAN_COIL,,,,155A010020102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 3,Iroda 3,FAN_COIL,,,,155A010030102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 3,Iroda 3,FAN_COIL,,,,155A010040102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Vezetői iroda 3,Vezetői iroda 3,FAN_COIL,,,,155A010040102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Vezetői iroda 3,Vezetői iroda 3,FAN_COIL,,,,155A010050102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Államtitkári iroda,Államtitkári iroda,FAN_COIL,,,,155A010060102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Államtitkári iroda,Államtitkári iroda,FAN_COIL,,,,155A010070102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Államtitkári iroda,Államtitkári iroda,FAN_COIL,,,,155A010080102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Államtitkári iroda,Államtitkári iroda,FAN_COIL,,,,155AF00010102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Közlekedő,Közlekedő,FAN_COIL,,,,155AF00030102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Közlekedő,Közlekedő,FAN_COIL,,,,155AF00040102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 2,Iroda 2,FAN_COIL,,,,155AF00050102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 2,Iroda 2,FAN_COIL,,,,155AF00060102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Tárgyaló,tárgyaló,FAN_COIL,,,,155AF00070102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Tárgyaló,tárgyaló,FAN_COIL,,,,155AF00080102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 1,Iroda 1,FAN_COIL,,,,155AF00090102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,1. emelet,Iroda 1,Iroda 1,FAN_COIL,,,,155AT00102001,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,FAN_COIL,,,,155AT00102002,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Nagyterem,Nagyterem,FAN_COIL,,,,155AT00102003,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 2,Vezetői iroda 2,FAN_COIL,,,,155AT00102004,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 2,Vezetői iroda 2,FAN_COIL,,,,155AT00102005,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 3,Vezetői iroda 3,FAN_COIL,,,,155AT00102006,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 3,Vezetői iroda 3,FAN_COIL,,,,155AT00102007,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Teakonyha,teakonyha,FAN_COIL,,,,155AT00102008,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Teakonyha,teakonyha,FAN_COIL,,,,155AT00102009,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Őrszoba,Őrszoba,FAN_COIL,,,,155AT00102010,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Őrszoba,Őrszoba,FAN_COIL,,,,155AT00102011,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Előcsarnok,előcsarnok,FAN_COIL,,,,155AT00102012,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Előcsarnok,előcsarnok,FAN_COIL,,,,155AT00102013,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 1,Vezetői iroda 1,FAN_COIL,,,,155AT00102014,INDOOR_UNIT_UP_TO_2_5_KW,2
"Budapest, Naphegy tér 1.",A1115,földszint,Vezetői iroda 1,Vezetői iroda 1,FAN_COIL,,,,155AP00104001,INDOOR_UNIT_UP_TO_2_5_KW,2
